Admission # for Work Authorization,Alien # for Permanent Residence,Alien # for Work Authorization,Attestation,City,Country of Issuance,Date Expiration of Work Authorization,Date Signed by Employer,DateOfBirth,DateOfHire,EmailAddress,Employee Info from Section 1 - FirstName,Employee Info from Section 1 - LastName,Employee Info from Section 1 - Middle Initial,EmployerBusinessName,EmployerStreetAddress,FirstName,Foreign Passport,ForeignPassport,I-94 Admission Number,LastName,List A - Document Expiration Date - Second Section,List A - Document Expiration Date - Third Section,List A - DocumentExpirationDate,List A - DocumentNumber,List A - DocumentNumber - Second Section,List A - DocumentNumber - Third Section,List A - DocumentTitle,List A - DocumentTitle - Second Section,List A - DocumentTitle - Third Section,List A - Expiration Date,List A - Expiration Date -  Second Section,List A - ExpirationDate,List A - IssuingAuthority,List A - IssuingAuthority - Second Section,List A - IssuingAuthority - Third Section,List B - DocumentExpirationDate,List B - DocumentNumber,List B - DocumentTitle,List B - Expiration Date,List B - ExpirationDate,List B - IssuingAuthority,List C - DocumentExpirationDate,List C - DocumentNumber,List C - DocumentTitle,List C - Expiration Date,List C - IssuingAuthority,MaidenName,MiddleInitial,Name of Employee Representative,SocialSecurity,State,StreetAddress,Telephone,Title,TranslatorAddress,TranslatorDateOfSignature,TranslatorName,Zip
,987654321,,I\><|| II |,Los Angeles,,,8/2/18,3/3/19,8/2/18,michaeltsmith@yahoo.com,Michael,Smith ',,"StérBucks Corporation,",12343 Coffee Lane,MJchael,,,,Smlth,,,,123456789,,,U.S. Passport,,,,,| 01/01/2070,Depirtment 6f State,,,,,,,,,,,,,,Jones,,"Worker

John","1|2|4 -

 

 

 

-|8|8|9|9|\",,145 N Sth Drive,(555)111—2222,Supervisor,2244 N. 2nd St.,8/2/18,,45689
,_232432982,,,Los Angcles,,,"Date
02/20/2016",03/05/1986 ‘,,,,,,,,William,,,,Sm it}:,,,,,,,,,,,,,,,,,B12312198,,,8/23/22,,,D149802489,,4/5/21,,,,,1 23-345-1 834,CA,432 Belair Streli,,,,,,95452
,,,,Phoenix,,)01/01/2022,8/2/18,1/1/56,U8/UZ/ZUL8,H johndsmith@yahoo . com,,,,"Starbucks Corporation

 

‘",565 N. Blst Dr.,,,,r‘12346789111,Smith,,,,,,,,,,,,,,,,01/01/2051 _,123456789,Drlver‘s License,,,AZ Dept. of Transportation,,12345678,Social Security Card,,Department of State,Jones,,Davis,- 131 - 3;;31333,,132 Main Street,(555) 456-7878,Supervisor,13456 N; 22nd Lane Los Angeles ICA l12345,I08/01/20l8,"Reacher

Jack",13245
,) 123456789,,_|__|__M:l_,Anytown,,,7/30/18,5/1/63,V)_O_8/02/20_18__,,,,,"Apple Corporation, 123 Circle St. Columbus, CA 98765",,,,,,,,,,,,,,,,,,,,,,*: 08~08-2025,123415679,Driver ' 5 License,,,DeEartment of State,,1236547,Social Security Card,,"D

.O.T.",Smith,,David Johnson,123-45-6789,CA,123 Main Street,,Boss,"555 Crystal Lane, Phoenix, PA, 12345",8/1/18,"Smith, John",12345
,,,,Philadelphia,,,,7/11/18,7/3/18,,,,,,,Albert,,,,Einstein,,,,,,,,,,,,,,,,5/11/66,1312343554,Driver's License,,,PA DMV,,123987342,Social Security,,Social Security,,,,123—42—5463,Pennsylvania,435 Made Up Street,,,,,,52430
,_232432982,,,Los Angcles,,,"Date
02/20/2016",03/05/1986 ‘,,,,,,,,William,,,,Sm it}:,,,,,,,,,,,,,,,,,B12312198,,,8/23/22,,,D149802489,,4/5/21,,,,,1 23-345-1 834,CA,432 Belair Streli,,,,,,95452
,,,,Philadelphia,,,,2/22/67,,rbalboa@ fighting . com,,,,,,Rocky,,,,Balboa,,,1/8/20,A12345362,,,Passport,,,,,,Government,,,,,,,,,,,,,,,,,"H123l-

 

98

 

-|7654|",PA,6432 Freedom Road,555232131,,,,Official,42450
,,,,Phoenix,,)01/01/2022,8/2/18,1/1/56,U8/UZ/ZUL8,H johndsmith@yahoo . com,,,,"Starbucks Corporation

 

‘",565 N. Blst Dr.,John,,,r‘12346789111,Smith,,,,,,,,,,,,,,,,01/01/2051 _,123456789,Drlver‘s License,,,AZ Dept. of Transportation,,12345678,Social Security Card,,Department of State,Jones,,Davis,- 131 - 3;;31333,,132 Main Street,(555) 456-7878,Supervisor,13456 N; 22nd Lane Los Angeles ICA l12345,I08/01/20l8,"Reacher

Jack",13245
,,,_|_ _|__|__I_,Anytown,,,7/30/18,5/1/63,V)_O_8/02/20_18__,,,,,"Apple Corporation, 123 Circle St. Columbus, CA 98765",,John,,,,Doe,,,,,,,,,,,,,,,,*: 08~08-2025,123415679,Driver ' 5 License,,,DeEartment of State,,1236547,Social Security Card,,"D

.O.T.",Smith,,David Johnson,123-45-6789,CA,123 Main Street,,Boss,"555 Crystal Lane, Phoenix, PA, 12345",8/1/18,"Smith, John",12345
,,,,,,,,,8/2/18,,John,Smith,,Amazon,1234 Amazon Ave .,,,,,,,,,,,,,,,,,,,,,,12345678,Driver's llcense issued by state/territory,,1/1/51,Alaska,,123451234,Social Security Card lUnrestricted),,Social Securit Admin istrat ion,,,Johnson Steven,,,,,Supervisor,,,,
